graph_type,num_nodes,num_edges,exact_vc_size,dg_size,dg_ratio,ctqw_ratio,approx2_ratio,fastvc_ratio,sa_ratio
ER,7,12,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,11,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,11,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,11,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,11,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,9,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,7,8,3,4,1.3333333333333333,1.0,2.0,1.0,1.0
ER,7,12,4,4,1.0,1.0,1.5,1.25,1.0
ER,7,9,3,3,1.0,1.0,2.0,1.0,1.0
ER,7,9,4,4,1.0,1.0,1.0,1.0,1.0
ER,7,13,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,9,4,4,1.0,1.0,1.5,1.25,1.0
ER,7,9,4,4,1.0,1.0,1.5,1.25,1.0
ER,7,13,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,15,5,5,1.0,1.0,1.2,1.0,1.0
ER,7,11,4,4,1.0,1.0,1.0,1.0,1.0
ER,7,12,4,5,1.25,1.0,1.5,1.25,1.0
ER,7,13,4,4,1.0,1.0,1.5,1.25,1.0
ER,7,14,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,16,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,14,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,12,4,4,1.0,1.0,1.5,1.0,1.0
ER,7,13,5,5,1.0,1.0,1.2,1.0,1.0
ER,7,18,5,5,1.0,1.0,1.2,1.0,1.0
ER,7,16,5,5,1.0,1.0,1.2,1.0,1.0
ER,7,16,4,4,1.0,1.0,1.5,1.0,1.0
ER,8,12,5,5,1.0,1.0,1.6,1.0,1.0
ER,8,12,5,5,1.0,1.0,1.6,1.0,1.0
ER,8,10,3,3,1.0,1.0,2.0,1.3333333333333333,1.0
ER,8,10,4,4,1.0,1.0,1.5,1.0,1.0
ER,8,13,5,5,1.0,1.0,1.2,1.0,1.0
ER,8,10,3,3,1.0,1.0,2.0,1.0,1.0
ER,8,8,4,4,1.0,1.0,1.5,1.25,1.0
ER,8,16,5,5,1.0,1.0,1.2,1.0,1.0
ER,8,15,5,5,1.0,1.0,1.6,1.2,1.0
ER,8,12,5,5,1.0,1.0,1.2,1.0,1.0
ER,8,11,5,5,1.0,1.0,1.6,1.0,1.0
ER,8,17,5,5,1.0,1.0,1.6,1.0,1.0
ER,8,13,3,3,1.0,1.0,2.0,1.0,1.0
ER,8,13,5,5,1.0,1.0,1.6,1.0,1.0
ER,8,14,5,5,1.0,1.0,1.2,1.0,1.0
ER,8,12,4,4,1.0,1.0,2.0,1.0,1.0
ER,8,12,5,5,1.0,1.0,1.6,1.0,1.0
ER,8,18,5,5,1.0,1.0,1.2,1.0,1.0
ER,8,19,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,8,14,5,5,1.0,1.0,1.2,1.0,1.0
ER,8,17,5,5,1.0,1.0,1.6,1.2,1.0
ER,8,19,5,5,1.0,1.0,1.6,1.2,1.0
ER,8,20,4,4,1.0,1.0,2.0,1.5,1.0
ER,8,21,5,5,1.0,1.0,1.2,1.0,1.0
ER,8,18,6,6,1.0,1.0,1.0,1.0,1.0
ER,8,17,5,5,1.0,1.0,1.6,1.2,1.0
ER,8,17,5,6,1.2,1.0,1.6,1.0,1.0
ER,8,23,6,6,1.0,1.0,1.0,1.0,1.0
ER,8,22,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,8,20,6,6,1.0,1.0,1.0,1.0,1.0
ER,9,17,5,5,1.0,1.0,1.6,1.2,1.0
ER,9,17,5,5,1.0,1.0,1.6,1.2,1.0
ER,9,15,5,5,1.0,1.0,1.6,1.0,1.0
ER,9,11,4,4,1.0,1.0,1.5,1.0,1.0
ER,9,16,4,4,1.0,1.0,1.5,1.0,1.0
ER,9,13,5,5,1.0,1.0,1.6,1.0,1.0
ER,9,12,5,5,1.0,1.0,1.6,1.0,1.0
ER,9,21,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,18,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,17,5,5,1.0,1.0,1.6,1.0,1.0
ER,9,14,5,6,1.2,1.0,1.6,1.0,1.0
ER,9,25,6,6,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0
ER,9,18,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,15,5,5,1.0,1.0,1.6,1.0,1.0
ER,9,18,5,5,1.0,1.0,1.6,1.2,1.0
ER,9,15,5,6,1.2,1.0,1.6,1.2,1.0
ER,9,16,5,5,1.0,1.0,1.6,1.2,1.0
ER,9,23,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,23,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,20,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,21,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,27,6,6,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0
ER,9,27,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,9,23,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,24,6,6,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0
ER,9,22,6,6,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0
ER,9,24,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,9,31,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,9,29,6,6,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0
ER,9,26,6,6,1.0,1.0,1.3333333333333333,1.1666666666666667,1.0
ER,10,12,5,5,1.0,1.0,1.6,1.2,1.0
ER,10,20,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,10,16,5,5,1.0,1.0,1.6,1.2,1.0
ER,10,15,5,5,1.0,1.0,1.6,1.2,1.0
ER,10,17,5,5,1.0,1.0,1.6,1.2,1.0
ER,10,18,5,5,1.0,1.0,1.6,1.0,1.0
ER,10,14,4,4,1.0,1.0,2.0,1.0,1.0
ER,10,24,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,10,21,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,10,21,5,5,1.0,1.0,2.0,1.2,1.0
ER,10,19,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,10,28,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,10,19,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,10,20,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,10,21,5,5,1.0,1.0,1.6,1.4,1.0
ER,10,20,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,10,18,5,5,1.0,1.0,1.6,1.0,1.0
ER,10,28,7,7,1.0,1.1428571428571428,1.1428571428571428,1.0,1.0
ER,10,27,6,6,1.0,1.0,1.3333333333333333,1.0,1.0
ER,10,26,6,8,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0
ER,10,27,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,10,32,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,10,28,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,10,30,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,10,30,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,10,28,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,10,29,7,7,1.0,1.0,1.1428571428571428,1.1428571428571428,1.0
ER,10,39,8,8,1.0,1.0,1.25,1.125,1.0
ER,10,34,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,10,33,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,11,16,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,11,21,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,11,17,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,11,17,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,11,22,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,11,24,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,11,19,6,6,1.0,1.1666666666666667,1.6666666666666667,1.0,1.1666666666666667
ER,11,27,7,7,1.0,1.0,1.4285714285714286,1.2857142857142858,1.0
ER,11,24,6,6,1.0,1.0,1.6666666666666667,1.1666666666666667,1.0
ER,11,27,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,11,24,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,11,30,7,8,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.0,1.0
ER,11,23,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,11,22,7,7,1.0,1.0,1.1428571428571428,1.0,1.0
ER,11,27,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,11,27,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,11,23,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,11,32,7,8,1.1428571428571428,1.0,1.4285714285714286,1.2857142857142858,1.0
ER,11,30,7,8,1.1428571428571428,1.0,1.4285714285714286,1.0,1.1428571428571428
ER,11,33,8,8,1.0,1.0,1.25,1.0,1.0
ER,11,34,8,8,1.0,1.0,1.25,1.125,1.0
ER,11,37,8,8,1.0,1.0,1.25,1.125,1.0
ER,11,34,8,8,1.0,1.0,1.25,1.125,1.0
ER,11,36,7,7,1.0,1.1428571428571428,1.4285714285714286,1.1428571428571428,1.0
ER,11,38,8,8,1.0,1.0,1.25,1.0,1.0
ER,11,37,7,7,1.0,1.0,1.4285714285714286,1.2857142857142858,1.0
ER,11,38,8,8,1.0,1.0,1.25,1.0,1.0
ER,11,45,9,9,1.0,1.0,1.1111111111111112,1.0,1.0
ER,11,39,8,8,1.0,1.0,1.25,1.0,1.0
ER,11,42,8,9,1.125,1.0,1.25,1.125,1.0
ER,12,17,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,12,25,7,8,1.1428571428571428,1.1428571428571428,1.4285714285714286,1.1428571428571428,1.1428571428571428
ER,12,21,6,7,1.1666666666666667,1.1666666666666667,1.6666666666666667,1.0,1.0
ER,12,21,6,7,1.1666666666666667,1.1666666666666667,1.6666666666666667,1.0,1.0
ER,12,28,6,6,1.0,1.0,1.6666666666666667,1.0,1.0
ER,12,28,8,8,1.0,1.0,1.25,1.0,1.0
ER,12,25,7,7,1.0,1.0,1.7142857142857142,1.1428571428571428,1.0
ER,12,29,7,8,1.1428571428571428,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,12,30,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,12,31,8,8,1.0,1.0,1.5,1.0,1.0
ER,12,26,7,7,1.0,1.0,1.7142857142857142,1.0,1.0
ER,12,36,8,8,1.0,1.0,1.25,1.0,1.0
ER,12,28,8,8,1.0,1.0,1.25,1.0,1.0
ER,12,26,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,12,34,8,9,1.125,1.0,1.5,1.25,1.0
ER,12,32,8,8,1.0,1.0,1.25,1.0,1.0
ER,12,30,8,8,1.0,1.0,1.25,1.25,1.0
ER,12,36,8,8,1.0,1.0,1.25,1.0,1.0
ER,12,36,7,7,1.0,1.0,1.4285714285714286,1.1428571428571428,1.0
ER,12,38,8,8,1.0,1.0,1.25,1.125,1.0
ER,12,41,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,12,46,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,12,41,8,9,1.125,1.0,1.5,1.125,1.0
ER,12,42,8,8,1.0,1.0,1.25,1.0,1.0
ER,12,47,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,12,43,9,9,1.0,1.0,1.1111111111111112,1.0,1.0
ER,12,46,9,9,1.0,1.0,1.1111111111111112,1.1111111111111112,1.0
ER,12,54,9,9,1.0,1.0,1.3333333333333333,1.2222222222222223,1.0
ER,12,48,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,12,51,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,13,22,7,7,1.0,1.0,1.7142857142857142,1.1428571428571428,1.0
ER,13,30,8,8,1.0,1.0,1.5,1.125,1.0
ER,13,25,7,8,1.1428571428571428,1.0,1.7142857142857142,1.0,1.0
ER,13,26,8,8,1.0,1.0,1.25,1.125,1.0
ER,13,34,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,13,34,8,9,1.125,1.0,1.5,1.125,1.0
ER,13,32,8,8,1.0,1.0,1.5,1.0,1.0
ER,13,32,8,8,1.0,1.0,1.25,1.0,1.0
ER,13,36,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,13,37,8,8,1.0,1.0,1.5,1.125,1.0
ER,13,32,8,8,1.0,1.0,1.5,1.125,1.0
ER,13,42,9,10,1.1111111111111112,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,13,32,8,8,1.0,1.0,1.5,1.0,1.0
ER,13,32,8,9,1.125,1.125,1.5,1.0,1.0
ER,13,41,9,10,1.1111111111111112,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,13,38,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,13,38,8,9,1.125,1.0,1.5,1.0,1.0
ER,13,40,8,8,1.0,1.0,1.5,1.125,1.125
ER,13,43,9,9,1.0,1.1111111111111112,1.3333333333333333,1.0,1.0
ER,13,44,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,13,51,10,10,1.0,1.0,1.2,1.0,1.0
ER,13,55,10,11,1.1,1.0,1.2,1.0,1.0
ER,13,49,10,10,1.0,1.0,1.2,1.0,1.0
ER,13,49,9,10,1.1111111111111112,1.1111111111111112,1.3333333333333333,1.1111111111111112,1.1111111111111112
ER,13,56,10,10,1.0,1.0,1.2,1.1,1.0
ER,13,50,10,10,1.0,1.0,1.2,1.1,1.0
ER,13,55,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,13,61,10,11,1.1,1.1,1.2,1.0,1.0
ER,13,56,10,10,1.0,1.0,1.2,1.1,1.0
ER,13,59,10,10,1.0,1.0,1.2,1.2,1.0
ER,14,24,8,8,1.0,1.0,1.25,1.0,1.0
ER,14,32,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,14,30,7,7,1.0,1.0,1.7142857142857142,1.1428571428571428,1.0
ER,14,31,8,8,1.0,1.0,1.5,1.125,1.0
ER,14,38,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,14,39,10,10,1.0,1.0,1.2,1.0,1.0
ER,14,33,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,14,40,9,10,1.1111111111111112,1.0,1.3333333333333333,1.1111111111111112,1.1111111111111112
ER,14,43,9,9,1.0,1.0,1.5555555555555556,1.2222222222222223,1.0
ER,14,40,9,9,1.0,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,14,34,8,8,1.0,1.0,1.5,1.125,1.0
ER,14,45,9,10,1.1111111111111112,1.1111111111111112,1.5555555555555556,1.3333333333333333,1.0
ER,14,37,9,9,1.0,1.0,1.5555555555555556,1.1111111111111112,1.0
ER,14,38,9,9,1.0,1.0,1.3333333333333333,1.2222222222222223,1.0
ER,14,47,10,11,1.1,1.1,1.4,1.2,1.0
ER,14,43,10,10,1.0,1.0,1.2,1.0,1.0
ER,14,42,9,11,1.2222222222222223,1.0,1.3333333333333333,1.1111111111111112,1.0
ER,14,50,10,10,1.0,1.0,1.4,1.2,1.0
ER,14,54,10,11,1.1,1.0,1.4,1.1,1.0
ER,14,49,9,9,1.0,1.1111111111111112,1.3333333333333333,1.2222222222222223,1.0
ER,14,55,10,11,1.1,1.0,1.0,1.0,1.0
ER,14,63,10,10,1.0,1.0,1.4,1.2,1.0
ER,14,57,10,10,1.0,1.0,1.4,1.1,1.0
ER,14,58,10,11,1.1,1.1,1.4,1.1,1.0
ER,14,63,11,11,1.0,1.0,1.2727272727272727,1.0909090909090908,1.0
ER,14,57,10,10,1.0,1.0,1.2,1.1,1.0
ER,14,61,11,11,1.0,1.0,1.0909090909090908,1.0,1.0
ER,14,72,10,10,1.0,1.0,1.4,1.3,1.0
ER,14,68,11,11,1.0,1.0,1.2727272727272727,1.0909090909090908,1.0
ER,14,68,11,12,1.0909090909090908,1.0909090909090908,1.0909090909090908,1.0909090909090908,1.0909090909090908
ER,15,27,7,7,1.0,1.0,1.4285714285714286,1.0,1.0
ER,15,35,10,10,1.0,1.0,1.4,1.0,1.0
ER,15,37,10,10,1.0,1.0,1.4,1.1,1.0
ER,15,35,9,9,1.0,1.0,1.3333333333333333,1.0,1.0
ER,15,48,10,11,1.1,1.1,1.4,1.2,1.0
