graph_type,num_nodes,param,num_edges,reference_size,exact_used,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,FastVC_size,FastVC_time,FastVC_ratio,FastVC_valid,SA_size,SA_time,SA_ratio,SA_valid
ER,4,0.7,6,3,True,3,0.008448000997304916,1.0,True,3,5.964399315416813e-05,1.0,True,4,3.0450988560914993e-05,1.3333333333333333,True,3,4.036806058138609e-05,1.0,True,3,0.003830095985904336,1.0,True
ER,4,0.7,4,2,True,2,0.00563786702696234,1.0,True,2,5.678099114447832e-05,1.0,True,4,3.338395617902279e-05,2.0,True,2,3.5757897421717644e-05,1.0,True,2,0.0036520700668916106,1.0,True
ER,4,0.7,4,2,True,2,0.005682774935849011,1.0,True,2,6.104109343141317e-05,1.0,True,4,3.394298255443573e-05,2.0,True,2,3.8551981560885906e-05,1.0,True,2,0.0039762730011716485,1.0,True
ER,4,0.7,6,3,True,3,0.0076467819744721055,1.0,True,3,6.956199649721384e-05,1.0,True,4,3.198697231709957e-05,1.3333333333333333,True,3,5.713000427931547e-05,1.0,True,3,0.0038171750493347645,1.0,True
ER,4,0.7,4,2,True,2,0.005058184964582324,1.0,True,2,4.840001929551363e-05,1.0,True,4,2.8774957172572613e-05,2.0,True,2,3.680598456412554e-05,1.0,True,2,0.003528591012582183,1.0,True
ER,4,0.7,5,2,True,2,0.00544678105507046,1.0,True,2,6.153108552098274e-05,1.0,True,4,3.240699879825115e-05,2.0,True,3,3.7085963413119316e-05,1.5,True,2,0.0036418730160221457,1.0,True
ER,9,0.3,16,5,True,5,0.016821202938444912,1.0,True,5,0.0001100699882954359,1.0,True,8,5.7619065046310425e-05,1.6,True,6,7.054000161588192e-05,1.2,True,5,0.005797942983917892,1.0,True
ER,9,0.3,16,5,True,5,0.016486523090861738,1.0,True,5,9.95940063148737e-05,1.0,True,8,6.243796087801456e-05,1.6,True,6,9.407603647559881e-05,1.2,True,5,0.005820782040245831,1.0,True
ER,9,0.3,13,4,True,4,0.013435436063446105,1.0,True,4,9.973300620913506e-05,1.0,True,6,8.157396223396063e-05,1.5,True,4,8.20639543235302e-05,1.0,True,4,0.005532894982025027,1.0,True
ER,9,0.3,13,4,True,4,0.013195252045989037,1.0,True,4,9.344692807644606e-05,1.0,True,6,5.0354981794953346e-05,1.5,True,4,6.802601274102926e-05,1.0,True,4,0.00553212792146951,1.0,True
ER,9,0.3,13,4,True,4,0.013189106015488505,1.0,True,4,9.910494554787874e-05,1.0,True,6,5.0146016292274e-05,1.5,True,4,6.341608241200447e-05,1.0,True,4,0.0054870800813660026,1.0,True
ER,9,0.3,13,5,True,5,0.01605406601447612,1.0,True,5,9.072409011423588e-05,1.0,True,8,5.3149997256696224e-05,1.6,True,5,6.481294985860586e-05,1.0,True,5,0.0055378550896421075,1.0,True
ER,9,0.3,10,4,True,4,0.0130529860034585,1.0,True,4,8.143496233969927e-05,1.0,True,6,5.6641059927642345e-05,1.5,True,4,7.51490006223321e-05,1.0,True,4,0.005272457958199084,1.0,True
ER,9,0.3,16,5,True,5,0.016947265015915036,1.0,True,5,8.827901910990477e-05,1.0,True,8,6.718793883919716e-05,1.6,True,6,6.795499939471483e-05,1.2,True,5,0.00613122689537704,1.0,True
ER,9,0.3,15,5,True,5,0.017100287950597703,1.0,True,5,0.00010022206697613001,1.0,True,6,5.6292046792805195e-05,1.2,True,5,6.579002365469933e-05,1.0,True,5,0.005805416963994503,1.0,True
ER,9,0.3,14,4,True,4,0.013450382044538856,1.0,True,4,0.00011453998740762472,1.0,True,8,6.236799526959658e-05,2.0,True,4,7.151707541197538e-05,1.0,True,4,0.005695277010090649,1.0,True
ER,9,0.5,14,5,True,5,0.01701920200139284,1.0,True,5,0.00010203802958130836,1.0,True,8,5.9993937611579895e-05,1.6,True,5,6.991100963205099e-05,1.0,True,5,0.005663080024532974,1.0,True
ER,9,0.5,25,6,True,6,0.022009361069649458,1.0,True,6,0.0001418470637872815,1.0,True,8,7.535901386290789e-05,1.3333333333333333,True,7,8.576491381973028e-05,1.1666666666666667,True,6,0.006573740974999964,1.0,True
ER,9,0.5,18,6,True,6,0.02342616196256131,1.0,True,6,0.0001292070373892784,1.0,True,8,6.439397111535072e-05,1.3333333333333333,True,6,7.96889653429389e-05,1.0,True,6,0.00586869299877435,1.0,True
ER,9,0.5,15,5,True,5,0.017694846959784627,1.0,True,5,0.0001372379483655095,1.0,True,8,6.816501263529062e-05,1.6,True,5,8.220307063311338e-05,1.0,True,5,0.005766724934801459,1.0,True
ER,9,0.5,18,5,True,5,0.01867751299869269,1.0,True,5,0.00017215905245393515,1.0,True,8,7.689604535698891e-05,1.6,True,6,8.86979978531599e-05,1.2,True,5,0.00606522592715919,1.0,True
ER,9,0.5,15,5,True,5,0.019416713970713317,1.0,True,6,0.000130743021145463,1.2,True,8,5.943502765148878e-05,1.6,True,6,0.00010993005707859993,1.2,True,5,0.0057056829100474715,1.0,True
ER,9,0.5,16,5,True,5,0.016526542021892965,1.0,True,5,0.00013849500101059675,1.0,True,8,6.488303188234568e-05,1.6,True,6,7.871096022427082e-05,1.2,True,5,0.005739975022152066,1.0,True
ER,9,0.5,23,6,True,6,0.01829694793559611,1.0,True,6,0.0001486919354647398,1.0,True,8,6.865407340228558e-05,1.3333333333333333,True,6,9.33079281821847e-05,1.0,True,6,0.006487695965915918,1.0,True
ER,9,0.5,23,6,True,6,0.017795906984247267,1.0,True,7,0.00012934603728353977,1.1666666666666667,True,8,6.816501263529062e-05,1.3333333333333333,True,6,0.00010259600821882486,1.0,True,6,0.0066979179391637444,1.0,True
ER,9,0.5,20,6,True,6,0.02202319004572928,1.0,True,6,0.00011851999443024397,1.0,True,8,6.516207940876484e-05,1.3333333333333333,True,6,8.311204146593809e-05,1.0,True,6,0.006309809978120029,1.0,True
ER,9,0.7,21,6,True,6,0.018215931951999664,1.0,True,6,0.000148831051774323,1.0,True,8,6.781599950045347e-05,1.3333333333333333,True,6,8.080701809376478e-05,1.0,True,6,0.006310369004495442,1.0,True
ER,9,0.7,27,6,True,6,0.01815007207915187,1.0,True,6,0.00014492101036012173,1.0,True,8,7.284502498805523e-05,1.3333333333333333,True,7,8.401891682296991e-05,1.1666666666666667,True,6,0.006642465014010668,1.0,True
ER,9,0.7,27,7,True,7,0.02254267001990229,1.0,True,7,0.00017222901806235313,1.0,True,8,7.403199560940266e-05,1.1428571428571428,True,7,9.163201320916414e-05,1.0,True,7,0.006633804063312709,1.0,True
ER,9,0.7,23,6,True,6,0.01962840196210891,1.0,True,6,0.00012298999354243279,1.0,True,8,9.365694131702185e-05,1.3333333333333333,True,6,9.156193118542433e-05,1.0,True,6,0.006628007045947015,1.0,True
ER,9,0.7,24,6,True,6,0.020588999963365495,1.0,True,6,0.00014156789984554052,1.0,True,8,6.732705514878035e-05,1.3333333333333333,True,7,8.227303624153137e-05,1.1666666666666667,True,6,0.006701759062707424,1.0,True
