inst_id,graph_type,num_nodes,is_optimal,ratio,step,n_active,H,H_max,H_norm,D_kl,rel_delta,vertex,best_prob
0,ER,4,True,1.0,0,4,1.3512666949070242,1.3862943611198906,0.9747328798303919,0.03502766621286638,0.37499570308942254,1,6.666511575648126e-05
0,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,2,9.999666671134388e-05
1,ER,4,True,1.0,0,4,1.3512666949070242,1.3862943611198906,0.9747328798303919,0.03502766621286638,0.37499570308942254,1,6.666511575648126e-05
1,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,2,9.999666671134388e-05
2,ER,4,True,1.0,0,4,1.3512666949070242,1.3862943611198906,0.9747328798303919,0.03502766621286638,0.37499570308942254,1,6.666511575648126e-05
2,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,2,9.999666671134388e-05
3,ER,4,True,1.0,0,4,1.3512666949070242,1.3862943611198906,0.9747328798303919,0.03502766621286638,0.37499570308942254,1,6.666511575648126e-05
3,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,2,9.999666671134388e-05
4,ER,4,True,1.0,0,4,1.3512666949070242,1.3862943611198906,0.9747328798303919,0.03502766621286638,0.37499570308942254,1,6.666511575648126e-05
4,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,2,9.999666671134388e-05
5,ER,4,True,1.0,0,4,1.351266694907419,1.3862943611198906,0.9747328798306767,0.035027666212471775,0.37499570308525904,3,6.666511575603717e-05
5,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,1,9.999666671134388e-05
6,ER,4,True,1.0,0,4,1.351266694907419,1.3862943611198906,0.9747328798306767,0.035027666212471775,0.37499570308525904,3,6.666511575603717e-05
6,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,1,9.999666671134388e-05
7,ER,4,True,1.0,0,4,1.351266694907419,1.3862943611198906,0.9747328798306767,0.035027666212471775,0.37499570308525904,3,6.666511575603717e-05
7,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,1,9.999666671134388e-05
8,ER,4,True,1.0,0,4,1.351266694907419,1.3862943611198906,0.9747328798306767,0.035027666212471775,0.37499570308525904,3,6.666511575603717e-05
8,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,1,9.999666671134388e-05
9,ER,4,True,1.0,0,4,1.366159590918835,1.3862943611198906,0.9854758334407492,0.02013477020105544,2.9606728602676033e-12,1,7.49980208569756e-05
9,ER,4,True,1.0,1,2,0.6931471805599453,0.6931471805599453,1.0,6.163464915800392e-25,2.220520065593766e-12,3,9.999666671134388e-05
