graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,matching_lb,lb_tight,n_steps,min_delta,min_gap,n_uncertain
ER,9,0.7,24,6,6,1.0,True,4,False,6,0.0,0.3190964933197986,6
ER,9,0.7,31,7,7,1.0,True,4,False,7,2.220446049250313e-16,0.49999999999999994,7
ER,9,0.7,29,6,6,1.0,True,4,False,6,0.0,0.5657414540893354,6
ER,9,0.7,26,6,6,1.0,True,4,False,6,0.0,0.4609857324907515,6
ER,14,0.3,20,6,6,1.0,True,6,True,6,5.208256048661042e-11,0.15100632771845396,6
ER,14,0.3,20,6,6,1.0,True,6,True,6,5.208256048661042e-11,0.15100632771845396,6
ER,14,0.3,20,6,6,1.0,True,6,True,6,5.208256048661042e-11,0.15100632771845396,6
ER,14,0.3,23,7,7,1.0,True,7,True,7,2.220446049250313e-16,0.2834232077790402,7
ER,14,0.3,30,9,9,1.0,True,7,False,9,2.220446049250313e-16,0.22819106986327622,9
ER,14,0.3,29,9,9,1.0,True,7,False,9,2.220446049250313e-16,3.8424124992886277e-16,9
ER,14,0.3,22,8,8,1.0,True,7,False,8,2.220446049250313e-16,0.195374063803445,8
ER,14,0.3,31,8,8,1.0,True,7,False,8,2.220446049250313e-16,0.3348499916251391,8
ER,14,0.3,34,8,8,1.0,True,7,False,8,4.440892098500626e-16,0.2928932188134524,8
ER,14,0.3,33,9,9,1.0,True,7,False,9,2.220446049250313e-16,0.2411956171265197,9
ER,14,0.5,34,8,8,1.0,True,7,False,8,0.0,0.41472853119280617,8
ER,14,0.5,45,9,9,1.0,True,7,False,9,2.220446049250313e-16,0.4052833339583856,9
ER,14,0.5,37,9,9,1.0,True,7,False,9,0.0,0.39096534562206403,9
ER,14,0.5,38,9,9,1.0,True,7,False,9,2.220446049250313e-16,0.4369607220981088,9
ER,14,0.5,47,10,10,1.0,True,7,False,10,2.220446049250313e-16,0.3746372355225035,10
ER,14,0.5,43,10,10,1.0,True,7,False,10,2.220446049250313e-16,0.5247772279703513,10
ER,14,0.5,42,9,9,1.0,True,7,False,9,4.440892098500626e-16,0.39415714189849105,9
ER,14,0.5,50,10,10,1.0,True,7,False,10,2.220446049250313e-16,0.5752989019988373,10
ER,14,0.5,54,10,11,1.1,False,7,False,11,0.0,0.34594266799662493,11
ER,14,0.5,49,9,9,1.0,True,7,False,9,8.333000955929037e-12,0.5869528224761185,9
ER,14,0.7,55,10,10,1.0,True,7,False,10,0.0,0.5171947889901973,10
ER,14,0.7,63,10,10,1.0,True,7,False,10,2.220446049250313e-16,0.4226497308103746,10
ER,14,0.7,57,10,10,1.0,True,7,False,10,2.220446049250313e-16,0.5780921389204562,10
ER,14,0.7,58,10,10,1.0,True,7,False,10,2.220446049250313e-16,0.5424665892542113,10
ER,14,0.7,63,11,11,1.0,True,7,False,11,2.220446049250313e-16,0.5657414540893352,11
ER,14,0.7,57,10,10,1.0,True,7,False,10,2.220446049250313e-16,0.5053952895514964,10
ER,14,0.7,61,11,11,1.0,True,7,False,11,2.220446049250313e-16,0.5657414540893352,11
ER,14,0.7,72,10,10,1.0,True,7,False,10,0.0,0.5302036739907289,10
