graph_type,num_nodes,param,num_edges,milp_ref,size_fixed,ratio_fixed,opt_fixed,size_adaptive,ratio_adaptive,opt_adaptive,n_adapted,n_steps,mean_t_used,mean_delta
ER,9,0.7,24,6,6,1.0,True,6,1.0,True,6,6,1.2583333333333333,0.042515106273072555
ER,9,0.7,31,7,7,1.0,True,7,1.0,True,5,7,0.44142857142857134,0.006132250033716392
ER,9,0.7,29,6,6,1.0,True,6,1.0,True,5,6,0.46833333333333327,0.025118981215619618
ER,9,0.7,26,6,6,1.0,True,7,1.1666666666666667,False,5,7,0.7171428571428571,0.021251050201823923
ER,14,0.3,20,6,6,1.0,True,6,1.0,True,6,6,1.0833333333333333,0.10749525515658816
ER,14,0.3,20,6,6,1.0,True,6,1.0,True,6,6,1.0833333333333333,0.10749525515658816
ER,14,0.3,20,6,6,1.0,True,6,1.0,True,6,6,1.0833333333333333,0.10749525515658816
ER,14,0.3,23,7,7,1.0,True,7,1.0,True,6,7,1.2871428571428571,0.03144470930281281
ER,14,0.3,30,9,9,1.0,True,9,1.0,True,8,9,1.1677777777777778,0.0454877569926455
ER,14,0.3,29,9,9,1.0,True,9,1.0,True,7,9,1.1133333333333333,0.03587671868661075
ER,14,0.3,22,8,8,1.0,True,8,1.0,True,7,8,0.93875,0.04831923340581029
ER,14,0.3,31,8,8,1.0,True,8,1.0,True,7,8,1.12625,0.04507337164840154
ER,14,0.3,34,8,8,1.0,True,8,1.0,True,7,8,1.43875,0.06269246164225889
ER,14,0.3,33,9,9,1.0,True,9,1.0,True,9,9,1.0611111111111111,0.05734612234737519
ER,14,0.5,34,8,8,1.0,True,8,1.0,True,8,8,0.95,0.04754027550008208
ER,14,0.5,45,9,9,1.0,True,9,1.0,True,8,9,1.1144444444444443,0.029705039926146752
ER,14,0.5,37,9,9,1.0,True,9,1.0,True,8,9,1.12,0.03545348533519134
ER,14,0.5,38,9,9,1.0,True,9,1.0,True,8,9,1.0677777777777777,0.05038396567208573
ER,14,0.5,47,10,10,1.0,True,10,1.0,True,10,10,1.25,0.0424046806484719
ER,14,0.5,43,10,10,1.0,True,10,1.0,True,9,10,1.351,0.04097386842723048
ER,14,0.5,42,9,9,1.0,True,9,1.0,True,9,9,1.3944444444444446,0.046000313766314666
ER,14,0.5,50,10,10,1.0,True,10,1.0,True,10,10,1.47,0.043766144612862413
ER,14,0.5,54,10,11,1.1,False,11,1.1,False,10,11,1.2827272727272727,0.025709723984699586
ER,14,0.5,49,9,9,1.0,True,9,1.0,True,9,9,1.5,0.05730926188128397
ER,14,0.7,55,10,10,1.0,True,10,1.0,True,10,10,1.452,0.03674009770727514
ER,14,0.7,63,10,10,1.0,True,10,1.0,True,8,10,1.302,0.025954445366616917
ER,14,0.7,57,10,10,1.0,True,10,1.0,True,7,10,1.053,0.029257504614785757
ER,14,0.7,58,10,10,1.0,True,10,1.0,True,10,10,1.105,0.035678914385879536
ER,14,0.7,63,11,11,1.0,True,11,1.0,True,10,11,1.3827272727272726,0.022933960050918464
ER,14,0.7,57,10,10,1.0,True,10,1.0,True,9,10,1.251,0.033988858476296804
ER,14,0.7,61,11,11,1.0,True,11,1.0,True,9,11,1.0109090909090908,0.02426800044029406
ER,14,0.7,72,10,10,1.0,True,10,1.0,True,9,10,0.978,0.02826255773349571
ER,14,0.7,68,11,11,1.0,True,11,1.0,True,11,11,0.979090909090909,0.02347504151949862
ER,14,0.7,68,11,12,1.0909090909090908,False,12,1.0909090909090908,False,9,12,0.7974999999999999,0.010497449153037056
ER,19,0.3,44,12,12,1.0,True,12,1.0,True,11,12,1.5008333333333335,0.04438606449080441
ER,19,0.3,54,12,12,1.0,True,12,1.0,True,10,12,1.085,0.05027096383853496
ER,19,0.3,51,11,11,1.0,True,11,1.0,True,11,11,1.6818181818181819,0.06678835185216608
ER,19,0.3,43,11,12,1.0909090909090908,False,12,1.0909090909090908,False,10,12,1.2933333333333332,0.03455108227812159
ER,19,0.3,61,11,11,1.0,True,11,1.0,True,11,11,1.4090909090909092,0.06466040421079106
ER,19,0.3,49,12,12,1.0,True,12,1.0,True,12,12,1.4166666666666667,0.05084845750286599
ER,19,0.3,45,11,11,1.0,True,11,1.0,True,10,11,1.41,0.045195173743783186
ER,19,0.3,62,13,13,1.0,True,13,1.0,True,12,13,1.2330769230769232,0.04142288295777271
ER,19,0.3,57,12,12,1.0,True,12,1.0,True,10,12,1.3350000000000002,0.02920996622485042
ER,19,0.3,60,13,13,1.0,True,13,1.0,True,12,13,1.3546153846153848,0.04240883524183291
ER,19,0.5,75,13,13,1.0,True,13,1.0,True,13,13,1.4230769230769231,0.044347288834554896
ER,19,0.5,86,13,13,1.0,True,13,1.0,True,13,13,1.276923076923077,0.04032905406048935
ER,19,0.5,81,14,14,1.0,True,14,1.0,True,12,14,1.3585714285714288,0.029300544276565
ER,19,0.5,80,13,13,1.0,True,13,1.0,True,13,13,1.3476923076923077,0.03989471698300561
ER,19,0.5,91,14,14,1.0,True,14,1.0,True,14,14,1.2514285714285713,0.03516628420706202
ER,19,0.5,83,14,14,1.0,True,14,1.0,True,13,14,1.4292857142857145,0.030752415192645297
ER,19,0.5,86,14,14,1.0,True,14,1.0,True,13,14,1.3935714285714287,0.029192722358032743
ER,19,0.5,97,14,14,1.0,True,14,1.0,True,14,14,1.4657142857142857,0.040301171104116906
ER,19,0.5,92,13,13,1.0,True,13,1.0,True,12,13,1.3084615384615386,0.031051269812718704
ER,19,0.5,93,15,15,1.0,True,15,1.0,True,13,15,1.3013333333333335,0.023155936212247905
ER,19,0.7,115,15,15,1.0,True,15,1.0,True,14,15,1.304,0.01586737677971206
ER,19,0.7,123,15,16,1.0666666666666667,False,16,1.0666666666666667,False,15,16,1.4381249999999999,0.01750287198402624
ER,19,0.7,115,15,15,1.0,True,15,1.0,True,14,15,1.4040000000000001,0.026531406134271622
ER,19,0.7,120,15,15,1.0,True,15,1.0,True,14,15,1.370666666666667,0.020972699264664687
ER,19,0.7,118,15,16,1.0666666666666667,False,15,1.0,True,15,15,1.2933333333333332,0.02423628483249162
ER,19,0.7,111,15,15,1.0,True,15,1.0,True,14,15,1.4406666666666668,0.0200038944329551
ER,19,0.7,117,15,15,1.0,True,15,1.0,True,15,15,1.5133333333333332,0.02813650075708669
ER,19,0.7,132,15,16,1.0666666666666667,False,16,1.0666666666666667,False,14,16,1.0975,0.014184376701672649
ER,19,0.7,120,15,15,1.0,True,15,1.0,True,14,15,1.5006666666666668,0.019602336095343335
ER,19,0.7,125,16,16,1.0,True,16,1.0,True,16,16,1.3937499999999998,0.015490707889663238
ER,24,0.3,74,15,15,1.0,True,15,1.0,True,14,15,1.534,0.04284966285152947
ER,24,0.3,88,16,16,1.0,True,16,1.0,True,16,16,1.54375,0.052851069295044864
ER,24,0.3,86,16,16,1.0,True,16,1.0,True,16,16,1.440625,0.0404544308772975
