family,n_param,num_nodes,num_edges,exact_vc_size,is_bipartite,is_regular,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,SA_size,SA_time,SA_ratio,SA_valid
Cycle,16,16,16,8,True,True,8,0.03528213797835633,1.0,True,8,0.00013171997852623463,1.0,True,16,7.968797581270337e-05,2.0,True,8,0.007919581956230104,1.0,True
Cycle,17,17,17,9,False,True,9,0.04723861499223858,1.0,True,9,0.0001998160150833428,1.0,True,16,9.679998038336635e-05,1.7777777777777777,True,9,0.008097398036625236,1.0,True
Cycle,18,18,18,9,True,True,9,0.04483328200876713,1.0,True,9,0.00018123799236491323,1.0,True,18,9.596196468919516e-05,2.0,True,9,0.00868993200128898,1.0,True
Cycle,19,19,19,10,False,True,10,0.051208743010647595,1.0,True,10,0.00019709201296791434,1.0,True,18,9.826599853113294e-05,1.8,True,10,0.010286363016348332,1.0,True
Cycle,20,20,20,10,True,True,10,0.04997492698021233,1.0,True,10,0.0001730669755488634,1.0,True,20,0.000116286042612046,2.0,True,10,0.009394909022375941,1.0,True
3-Regular,10,10,15,6,False,True,6,0.021702548023313284,1.0,True,7,9.784800931811333e-05,1.1666666666666667,True,8,5.831703310832381e-05,1.3333333333333333,True,6,0.006900807027705014,1.0,True
3-Regular,10,10,15,6,False,True,6,0.02455863798968494,1.0,True,7,0.00011600600555539131,1.1666666666666667,True,8,5.733902798965573e-05,1.3333333333333333,True,6,0.006254287029150873,1.0,True
3-Regular,10,10,15,6,False,True,6,0.02154757099924609,1.0,True,6,0.00010224699508398771,1.0,True,10,6.411399226635695e-05,1.6666666666666667,True,6,0.006610686017666012,1.0,True
3-Regular,10,10,15,6,False,True,6,0.022747025010176003,1.0,True,6,0.00011775299208238721,1.0,True,8,5.929503822699189e-05,1.3333333333333333,True,6,0.0063742740312591195,1.0,True
3-Regular,10,10,15,6,False,True,6,0.021299354964867234,1.0,True,7,9.589199908077717e-05,1.1666666666666667,True,8,6.816495442762971e-05,1.3333333333333333,True,6,0.006232635991182178,1.0,True
3-Regular,10,10,15,6,False,True,6,0.02049226895906031,1.0,True,6,9.88260144367814e-05,1.0,True,8,5.77589962631464e-05,1.3333333333333333,True,6,0.006548458011820912,1.0,True
3-Regular,10,10,15,6,False,True,6,0.02275359001941979,1.0,True,7,0.00012508599320426583,1.1666666666666667,True,8,7.919996278360486e-05,1.3333333333333333,True,6,0.007399613969027996,1.0,True
3-Regular,10,10,15,6,False,True,6,0.021071183029562235,1.0,True,7,9.638100164011121e-05,1.1666666666666667,True,8,5.713000427931547e-05,1.3333333333333333,True,7,0.006323918991256505,1.1666666666666667,True
3-Regular,10,10,15,6,False,True,6,0.020052618987392634,1.0,True,6,9.009498171508312e-05,1.0,True,10,5.866598803550005e-05,1.6666666666666667,True,6,0.0063321589841507375,1.0,True
3-Regular,10,10,15,6,False,True,6,0.022273081995081156,1.0,True,6,0.00010308600030839443,1.0,True,10,6.620999192818999e-05,1.6666666666666667,True,6,0.006668863992672414,1.0,True
3-Regular,12,12,18,7,False,True,7,0.026055126974824816,1.0,True,7,0.0001131430035457015,1.0,True,10,6.767699960619211e-05,1.4285714285714286,True,7,0.007829906011465937,1.0,True
3-Regular,12,12,18,7,False,True,8,0.028697361995000392,1.1428571428571428,True,8,0.0001192190102301538,1.1428571428571428,True,10,7.528899004682899e-05,1.4285714285714286,True,8,0.007074852008372545,1.1428571428571428,True
3-Regular,12,12,18,7,False,True,7,0.028743457980453968,1.0,True,7,0.00011782202636823058,1.0,True,12,7.08199804648757e-05,1.7142857142857142,True,8,0.007125626958440989,1.1428571428571428,True
