inst_id,graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,H_mean,H_std,H_first,H_last,H_slope,H_integral,D_kl_mean,MI_consec,n_steps
0,ER,4,0.3,4,2,2,1.0,True,0.987366439915196,0.01263356008480404,0.9747328798303919,1.0,0.0,0.493683219957598,0.01751383310643319,0.0,2
1,ER,4,0.3,4,2,2,1.0,True,0.987366439915196,0.01263356008480404,0.9747328798303919,1.0,0.0,0.493683219957598,0.01751383310643319,0.0,2
2,ER,4,0.3,4,2,2,1.0,True,0.987366439915196,0.01263356008480404,0.9747328798303919,1.0,0.0,0.493683219957598,0.01751383310643319,0.0,2
3,ER,4,0.3,4,2,2,1.0,True,0.987366439915196,0.01263356008480404,0.9747328798303919,1.0,0.0,0.493683219957598,0.01751383310643319,0.0,2
4,ER,4,0.3,4,2,2,1.0,True,0.987366439915196,0.01263356008480404,0.9747328798303919,1.0,0.0,0.493683219957598,0.01751383310643319,0.0,2
5,ER,4,0.3,4,2,2,1.0,True,0.9873664399153383,0.012633560084661655,0.9747328798306767,1.0,0.0,0.4936832199576692,0.017513833106235888,0.0,2
6,ER,4,0.3,4,2,2,1.0,True,0.9873664399153383,0.012633560084661655,0.9747328798306767,1.0,0.0,0.4936832199576692,0.017513833106235888,0.0,2
7,ER,4,0.3,4,2,2,1.0,True,0.9873664399153383,0.012633560084661655,0.9747328798306767,1.0,0.0,0.4936832199576692,0.017513833106235888,0.0,2
8,ER,4,0.3,4,2,2,1.0,True,0.9873664399153383,0.012633560084661655,0.9747328798306767,1.0,0.0,0.4936832199576692,0.017513833106235888,0.0,2
9,ER,4,0.3,3,2,2,1.0,True,0.9927379167203746,0.007262083279625409,0.9854758334407492,1.0,0.0,0.4963689583601873,0.01006738510052772,0.0,2
10,ER,4,0.5,3,2,2,1.0,True,0.9927379167202967,0.007262083279703346,0.9854758334405933,1.0,0.0,0.4963689583601483,0.010067385100635758,0.0,2
11,ER,4,0.5,4,2,2,1.0,True,0.987366439915196,0.01263356008480404,0.9747328798303919,1.0,0.0,0.493683219957598,0.017513833106433195,0.0,2
12,ER,4,0.5,3,2,2,1.0,True,0.9927379167202708,0.00726208327972927,0.9854758334405415,1.0,0.0,0.4963689583601354,0.010067385100671806,0.0,2
