instance_id,graph_type,num_nodes,is_optimal,step,vertex,prob,delta,spectral_gap,n_active
0,ER,4,True,0,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218311,4
0,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
1,ER,4,True,0,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218311,4
1,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
2,ER,4,True,0,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218311,4
2,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
3,ER,4,True,0,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218311,4
3,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
4,ER,4,True,0,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218311,4
4,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
5,ER,4,True,0,3,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
5,ER,4,True,1,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
6,ER,4,True,0,3,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
6,ER,4,True,1,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
7,ER,4,True,0,3,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
7,ER,4,True,1,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
8,ER,4,True,0,3,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
8,ER,4,True,1,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
9,ER,4,True,0,1,7.49980208569756e-05,2.220446049250313e-16,0.49999999999999994,4
9,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
10,ER,4,True,0,2,7.49980208569756e-05,2.220446049250313e-16,0.49999999999999994,4
10,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
11,ER,4,True,0,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218308,4
11,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
12,ER,4,True,0,0,7.499802085675356e-05,0.0,0.4999999999999999,4
12,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
13,ER,4,True,0,0,7.499802085675356e-05,0.0,0.4999999999999999,4
13,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
14,ER,4,True,0,0,3.333283950957e-05,2.220446049250313e-16,1.3333333333333324,4
14,ER,4,True,1,1,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
14,ER,4,True,2,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
15,ER,4,True,0,1,7.49980208569756e-05,6.661338147750939e-16,0.49999999999999994,4
15,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
16,ER,4,True,0,1,7.49980208569756e-05,6.661338147750939e-16,0.49999999999999994,4
16,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
17,ER,4,True,0,2,6.666511575625922e-05,2.4999131954417386e-05,0.7712864461218311,4
17,ER,4,True,1,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
18,ER,4,True,0,3,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
18,ER,4,True,1,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
19,ER,4,True,0,0,6.666511575559309e-05,2.4999131953751252e-05,0.7712864461218312,4
19,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
20,ER,4,True,0,3,6.666511575625922e-05,2.499913195419534e-05,0.7712864461218308,4
20,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
21,ER,4,True,0,1,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218308,4
21,ER,4,True,1,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
22,ER,4,True,0,0,3.333283950957e-05,2.220446049250313e-16,1.3333333333333324,4
22,ER,4,True,1,1,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
22,ER,4,True,2,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
23,ER,4,True,0,0,3.333283950957e-05,2.220446049250313e-16,1.3333333333333324,4
23,ER,4,True,1,1,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
23,ER,4,True,2,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
24,ER,4,True,0,0,3.333283950957e-05,2.220446049250313e-16,1.3333333333333324,4
24,ER,4,True,1,1,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
24,ER,4,True,2,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
25,ER,4,True,0,3,6.666511575625922e-05,2.499913195419534e-05,0.7712864461218308,4
25,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
26,ER,4,True,0,3,6.666511575625922e-05,2.499913195419534e-05,0.7712864461218308,4
26,ER,4,True,1,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
27,ER,4,True,0,0,3.333283950957e-05,2.220446049250313e-16,1.3333333333333324,4
27,ER,4,True,1,1,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
27,ER,4,True,2,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
28,ER,4,True,0,3,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
28,ER,4,True,1,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
29,ER,4,True,0,0,4.444366255729193e-05,0.0,1.0000000000000002,4
29,ER,4,True,1,3,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
30,ER,9,True,0,1,3.624949036806768e-05,2.9166134113411957e-06,0.43350055713342317,9
30,ER,9,True,1,4,4.7915829723410575e-05,2.0832570175599585e-06,0.44998618071687363,8
30,ER,9,True,2,7,5.2082346651882716e-05,1.2499641930840966e-05,0.5806843210314833,6
30,ER,9,True,3,8,6.666511575625922e-05,2.499913195419534e-05,0.7712864461218308,4
30,ER,9,True,4,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
31,ER,9,True,0,1,3.624949036806768e-05,2.9166134113411957e-06,0.43350055713342317,9
31,ER,9,True,1,4,4.7915829723410575e-05,2.0832570175599585e-06,0.44998618071687363,8
31,ER,9,True,2,7,5.2082346651882716e-05,1.2499641930840966e-05,0.5806843210314833,6
31,ER,9,True,3,8,6.666511575625922e-05,2.499913195419534e-05,0.7712864461218308,4
31,ER,9,True,4,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
32,ER,9,True,0,1,4.5832541801793525e-05,6.9442161806376745e-06,0.4202748898503367,9
32,ER,9,True,1,8,7.499809029831717e-05,2.4999027789740502e-05,0.16959260913516183,7
32,ER,9,True,2,0,6.666504631480663e-05,1.666601852734484e-05,0.5917517095361366,5
32,ER,9,True,3,7,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
33,ER,9,True,0,1,4.5832541801793525e-05,6.9442161806376745e-06,0.4202748898503367,9
33,ER,9,True,1,8,7.499809029831717e-05,2.4999027789740502e-05,0.16959260913516183,7
33,ER,9,True,2,0,6.666504631480663e-05,1.666601852734484e-05,0.5917517095361366,5
33,ER,9,True,3,7,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
34,ER,9,True,0,1,4.5832541801793525e-05,6.9442161806376745e-06,0.4202748898503367,9
34,ER,9,True,1,8,7.499809029831717e-05,2.4999027789740502e-05,0.16959260913516183,7
34,ER,9,True,2,0,6.666504631480663e-05,1.666601852734484e-05,0.5917517095361366,5
34,ER,9,True,3,7,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
35,ER,9,True,0,7,5.6665551167345285e-05,2.2221580896486515e-05,0.31394746414391506,9
35,ER,9,True,1,5,4.7915834304745886e-05,1.1805247077334435e-05,0.534273046718424,7
35,ER,9,True,2,4,4.444365098477121e-05,4.440892098500626e-16,0.6666666666666665,5
35,ER,9,True,3,3,7.49980208569756e-05,4.440892098500626e-16,0.49999999999999994,4
35,ER,9,True,4,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
36,ER,9,True,0,8,5.999876251094882e-05,4.999848959630349e-06,0.2750197648203841,9
36,ER,9,True,1,4,5.624885417765402e-05,0.0,0.555385720435402,7
36,ER,9,True,2,7,8.333094910317751e-05,1.666585649384711e-05,0.4226497308103743,5
36,ER,9,True,3,5,9.999666671134388e-05,2.220446049250313e-16,2.0,2
37,ER,9,True,0,1,4.583256578560846e-05,1.8499569280128192e-05,0.4732133122947474,9
37,ER,9,True,1,0,3.44439723697354e-05,4.444841806838795e-07,0.552580390486898,7
37,ER,9,True,2,3,4.8332454906985234e-05,1.4166286076422452e-05,0.7395626450721655,6
37,ER,9,True,3,7,6.666511575670331e-05,2.4999131954861475e-05,0.7712864461218308,4
37,ER,9,True,4,8,9.999666671134388e-05,2.220446049250313e-16,2.0,2
38,ER,9,True,0,3,3.7332776537724044e-05,2.888796761135737e-06,0.2557967087403783,9
38,ER,9,True,1,2,7.499809897837384e-05,2.499903647001922e-05,0.15376157219871722,8
38,ER,9,True,2,0,4.79158179081951e-05,0.0,0.6096117967977921,6
38,ER,9,True,3,8,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
38,ER,9,True,4,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
39,ER,9,True,0,4,5.1110195521286705e-05,1.3777449105689676e-05,0.39193389748130586,9
39,ER,9,True,1,5,4.166594589782857e-05,2.083255932761041e-06,0.6757864856699729,7
39,ER,9,True,2,3,7.083160881415917e-05,1.2499470493199105e-05,0.48677175000722483,6
39,ER,9,True,3,8,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
40,ER,9,True,0,6,3.611058279062718e-05,1.6666354355487911e-06,0.4362895082458682,9
