name,V,E,sp,dg,sa,vbs,ref,ref_lbl,sp_ratio,dg_ratio,sa_ratio,sp_valid,dg_valid,sa_valid,sp_t,dg_t,sa_t
karate,34,78,14,14,27,14,14,VBS,1.0,1.0,1.9285714285714286,True,True,True,0.0005791239673271775,0.0002628129441291094,0.025975158903747797
les_mis,77,254,42,42,49,42,42,VBS,1.0,1.0,1.1666666666666667,True,True,True,0.0007201340049505234,0.000339986989274621,0.01702395104803145
email-Eu,986,16064,585,591,719,585,585,VBS,1.0,1.0102564102564102,1.2290598290598291,True,True,True,0.011462419992312789,0.005910458043217659,1.1090704270172864
ca-GrQc,4158,13422,2210,2220,2424,2210,2210,VBS,1.0,1.004524886877828,1.0968325791855205,True,True,True,0.0063529720064252615,0.01737504405900836,1.1935002909740433
ca-HepTh,8638,24806,4319,4334,4336,4319,4319,VBS,1.0,1.0034730261634637,1.0039360963185924,True,True,True,0.015949583030305803,0.07119508204050362,3.020107443095185
ca-AstroPh,17903,196972,11511,11515,11714,11511,11511,VBS,1.0,1.0003474937016767,1.0176353053600904,True,True,True,0.27335939300246537,0.5253361810464412,26.877289150026627
p2p-Gnut04,10876,39994,4358,4436,4690,4358,4358,VBS,1.0,1.0178981184029372,1.0761817347407068,True,True,True,0.03894985199440271,0.12992566102184355,11.313347855000757
roadNet-PA,1087562,1541514,557607,587026,,557607,557607,VBS,1.0,1.0527593807107873,nan,True,True,,1.6895105380099267,1544.1479082170408,0.0
